time;res_p;res_rho;res_vx;res_vy;res_vz;elapsed_time
0;1.61599e-10;1.61599e-10;1.93597e-07;1.91239e-07;2.75536e-07;0.880313
0.005;1.56428e-09;1.56428e-09;4.19025e-07;4.59377e-07;4.46407e-07;0.77986
0.01;5.62196e-09;5.62196e-09;6.964e-07;5.51572e-07;7.30532e-07;0.789512
0.015;1.36643e-08;1.36643e-08;1.10544e-06;8.62523e-07;1.04645e-06;0.724438
0.02;2.7338e-08;2.7338e-08;1.52807e-06;1.45952e-06;1.37585e-06;0.711143
0.025;4.84264e-08;4.84264e-08;1.94826e-06;1.86798e-06;1.8751e-06;0.694813
0.03;7.85365e-08;7.85365e-08;2.35383e-06;2.26863e-06;2.38546e-06;0.684975
0.035;1.18692e-07;1.18692e-07;2.98314e-06;2.87356e-06;2.8172e-06;0.701163
0.04;1.72923e-07;1.72923e-07;3.63427e-06;3.36518e-06;3.39402e-06;0.685259
0.045;2.43061e-07;2.43061e-07;4.50895e-06;3.82098e-06;4.10072e-06;0.694139
0.05;7.47202e-09;7.47202e-09;1.17788e-07;1.1033e-07;9.09685e-08;1.05041
0.055;2.98144e-08;2.98144e-08;4.50332e-07;3.12508e-07;2.90821e-07;0.708879
0.06;6.87179e-08;6.87179e-08;6.80897e-07;6.50188e-07;5.24709e-07;0.684496
0.065;1.26675e-07;1.26675e-07;9.2628e-07;9.66376e-07;7.511e-07;0.680929
0.07;2.01773e-07;2.01773e-07;1.22162e-06;1.30687e-06;1.18983e-06;0.690422
0.075;2.97751e-07;2.97751e-07;1.76769e-06;1.70347e-06;1.6723e-06;0.695944
0.08;4.1263e-07;4.1263e-07;2.00107e-06;2.18046e-06;2.0876e-06;0.679095
0.085;5.45106e-07;5.45106e-07;2.37011e-06;2.68685e-06;2.42505e-06;0.706309
0.09;6.89226e-07;6.89226e-07;2.75244e-06;3.14443e-06;2.86688e-06;0.692208
0.095;8.4824e-07;8.4824e-07;3.46726e-06;3.75776e-06;3.34631e-06;0.70059
0.1;1.00568e-08;1.00568e-08;5.66501e-08;1.59872e-07;8.67062e-08;0.916467
0.105;3.7896e-08;3.7896e-08;3.0372e-07;2.35232e-07;2.65948e-07;0.800357
0.11;8.21403e-08;8.21403e-08;5.69197e-07;5.39739e-07;5.44234e-07;0.705236
0.115;1.45001e-07;1.45001e-07;8.52996e-07;8.15749e-07;9.23102e-07;0.713729
0.12;2.30955e-07;2.30955e-07;1.34867e-06;1.13195e-06;1.30446e-06;0.707515
0.125;3.39785e-07;3.39785e-07;1.6457e-06;1.53334e-06;1.71891e-06;0.682639
0.13;4.68517e-07;4.68517e-07;2.06687e-06;2.05755e-06;2.14688e-06;0.705669
0.135;6.19017e-07;6.19017e-07;2.38628e-06;2.53929e-06;2.62377e-06;0.689543
0.14;7.84582e-07;7.84582e-07;2.8592e-06;3.01e-06;3.04338e-06;0.689919
0.145;9.77746e-07;9.77746e-07;3.32784e-06;3.55739e-06;3.59324e-06;0.689902
0.15;1.17045e-08;1.17045e-08;1.17692e-07;1.49701e-07;1.30956e-07;0.908694
0.155;4.4211e-08;4.4211e-08;4.94868e-07;2.34189e-07;3.15759e-07;0.777611
0.16;9.76428e-08;9.76428e-08;8.31813e-07;4.66211e-07;8.87592e-07;0.698763
0.165;1.72278e-07;1.72278e-07;1.24575e-06;7.06511e-07;1.06965e-06;0.694042
0.17;2.6622e-07;2.6622e-07;1.55577e-06;9.96546e-07;1.47894e-06;0.715753
0.175;3.79748e-07;3.79748e-07;1.97806e-06;1.33962e-06;1.73479e-06;0.698172
0.18;5.16316e-07;5.16316e-07;2.39026e-06;1.82399e-06;2.03613e-06;0.681223
0.185;6.69466e-07;6.69466e-07;2.69739e-06;2.34952e-06;2.48222e-06;0.700952
0.19;8.36788e-07;8.36788e-07;3.16319e-06;2.70076e-06;3.12493e-06;0.703465
0.195;1.0284e-06;1.0284e-06;3.54439e-06;3.15584e-06;3.5631e-06;0.688116
0.2;1.16623e-08;1.16623e-08;7.54958e-08;1.08913e-07;1.12105e-07;0.993483
0.205;4.34634e-08;4.34634e-08;2.13709e-07;2.6614e-07;4.29029e-07;0.725217
0.21;9.34903e-08;9.34903e-08;5.13494e-07;6.89648e-07;5.70729e-07;0.715107
0.215;1.66416e-07;1.66416e-07;7.36073e-07;8.71717e-07;8.58925e-07;0.686011
0.22;2.57674e-07;2.57674e-07;1.11092e-06;1.13085e-06;1.23928e-06;0.706005
0.225;3.62862e-07;3.62862e-07;1.38404e-06;1.50518e-06;1.56536e-06;0.72461
0.23;4.89738e-07;4.89738e-07;1.88541e-06;1.91534e-06;1.86418e-06;0.694892
0.235;6.28793e-07;6.28793e-07;2.27414e-06;2.21026e-06;2.19909e-06;0.745897
0.24;7.82352e-07;7.82352e-07;2.63993e-06;2.62552e-06;2.5923e-06;0.763747
0.245;9.57715e-07;9.57715e-07;3.08972e-06;3.089e-06;3.03368e-06;0.702037
0.25;1.12349e-08;1.12349e-08;1.2104e-07;1.07228e-07;1.07183e-07;0.880582
0.255;3.90879e-08;3.90879e-08;2.8028e-07;2.11265e-07;2.42742e-07;0.89972
0.26;7.96514e-08;7.96514e-08;4.4403e-07;3.66318e-07;3.669e-07;0.885143
0.265;1.35703e-07;1.35703e-07;6.28291e-07;5.40086e-07;5.96435e-07;0.784862
0.27;2.0108e-07;2.0108e-07;8.97659e-07;8.33182e-07;8.53018e-07;0.783704
0.275;2.81994e-07;2.81994e-07;1.16754e-06;1.08805e-06;1.09364e-06;0.803972
0.28;3.73463e-07;3.73463e-07;1.49019e-06;1.36803e-06;1.43851e-06;0.738395
0.285;4.76676e-07;4.76676e-07;1.93002e-06;1.72681e-06;1.77291e-06;0.746217
0.29;5.87452e-07;5.87452e-07;2.40418e-06;2.14141e-06;2.28175e-06;0.771169
0.295;7.10997e-07;7.10997e-07;2.88443e-06;2.63273e-06;2.83334e-06;0.715735
0.3;8.54643e-09;8.54643e-09;6.07962e-08;6.42634e-08;1.1703e-07;0.945208
0.305;2.86079e-08;2.86079e-08;2.81555e-07;1.37855e-07;2.58237e-07;0.830677
0.31;6.01566e-08;6.01566e-08;3.9623e-07;2.87902e-07;3.58238e-07;0.939883
0.315;1.01126e-07;1.01126e-07;6.09342e-07;5.31794e-07;5.30852e-07;0.754812
0.32;1.53729e-07;1.53729e-07;9.03769e-07;8.27349e-07;8.24222e-07;0.745609
0.325;2.1904e-07;2.1904e-07;1.1088e-06;1.09057e-06;1.06719e-06;0.784453
0.33;2.91692e-07;2.91692e-07;1.40722e-06;1.39606e-06;1.34699e-06;1.04229
0.335;3.79427e-07;3.79427e-07;1.75239e-06;1.85828e-06;1.67769e-06;0.827765
0.34;4.73062e-07;4.73062e-07;2.11976e-06;2.20106e-06;2.08031e-06;0.780533
0.345;5.77142e-07;5.77142e-07;2.59448e-06;2.64877e-06;2.50944e-06;0.729814
0.35;6.30732e-09;6.30732e-09;8.70345e-08;4.79386e-08;5.22768e-08;1.06241
0.355;2.2293e-08;2.2293e-08;1.54312e-07;1.40712e-07;1.49813e-07;0.99418
0.36;5.09159e-08;5.09159e-08;3.66399e-07;3.24499e-07;2.95888e-07;0.777442
0.365;8.82478e-08;8.82478e-08;5.56969e-07;5.17458e-07;4.99611e-07;0.762904
0.37;1.35122e-07;1.35122e-07;7.9544e-07;7.14645e-07;7.84697e-07;0.835347
0.375;1.9429e-07;1.9429e-07;1.20577e-06;9.90912e-07;1.08875e-06;0.777739
0.38;2.60674e-07;2.60674e-07;1.43314e-06;1.27826e-06;1.41475e-06;0.862311
0.385;3.45943e-07;3.45943e-07;1.74091e-06;1.67288e-06;1.88363e-06;0.735278
0.39;4.35313e-07;4.35313e-07;2.14189e-06;2.09063e-06;2.23261e-06;0.776645
0.395;5.41458e-07;5.41458e-07;2.55121e-06;2.53147e-06;2.83194e-06;0.705072
0.4;8.32473e-09;8.32473e-09;1.94041e-07;1.33695e-07;3.23221e-08;1.08435
0.405;3.13459e-08;3.13459e-08;2.91979e-07;2.50964e-07;1.19065e-07;0.769917
0.41;6.3185e-08;6.3185e-08;3.96516e-07;3.48791e-07;2.45011e-07;0.771954
0.415;1.03664e-07;1.03664e-07;6.60589e-07;6.0371e-07;4.80782e-07;0.716517
0.42;1.56476e-07;1.56476e-07;8.27891e-07;8.25955e-07;7.09637e-07;0.757244
0.425;2.21163e-07;2.21163e-07;1.17247e-06;1.08569e-06;1.11667e-06;0.767395
0.43;2.92433e-07;2.92433e-07;1.56058e-06;1.50485e-06;1.40396e-06;0.741245
0.435;3.76866e-07;3.76866e-07;1.8038e-06;1.79884e-06;1.79993e-06;0.775785
0.44;4.73846e-07;4.73846e-07;2.20237e-06;2.31722e-06;2.14179e-06;0.846375
0.445;5.75596e-07;5.75596e-07;2.63611e-06;2.77778e-06;2.53629e-06;0.791444
0.45;6.8905e-09;6.8905e-09;6.61262e-08;4.60741e-08;4.19612e-08;1.03104
